feature,importance
Stoch_5_overbought,0.10563562
Stoch_6_K_above_D,0.07645592
Stoch_14_K_above_D,0.05512219
CCI_4_overbought,0.04754699
Stoch_K_3,0.046322577
Stoch_1_K_above_D,0.043028943
Formula3_Signal,0.041954827
CCI_3,0.03839767
Momentum_Signal,0.03791138
is_month_start,0.03278956
Volatility_7d,0.03145444
Stoch_4_K_above_D,0.031358875
SMI_oversold_50,0.02916995
is_month_end,0.029143661
Stoch_3_K_above_D,0.028651234
SMI_overbought_40,0.028144281
high_volatility_regime,0.027168725
SMI_oversold_40,0.026697919
is_quarter_start,0.026443116
dow_sin,0.026197646
SMI_signal,0.026025318
day_of_week,0.025811974
month_sin,0.025745582
SMI_overbought_50,0.025425589
RSI_14_bullish_divergence,0.025267648
RSI_7_bullish_divergence,0.021113127
RSI_7_bearish_divergence,0.020582516
RSI_14_bearish_divergence,0.020432763
